corroboration_run_id,station_id,channel,verdict,sustained_offset,tier,start_hour,end_hour,duration_hours,n_flagged_hours,full_period_covered_hours,full_period_median_residual,full_period_residual_mad,full_period_fraction_abs_residual_z_ge_3,median_offset_level,offset_stability_mad,mean_offset_score,peak_abs_offset_score,confirmed_offset_value,spatial_available_hours,spatial_median_residual,spatial_corroboration,resolved_episode_count,resolved_episode_ids
calibration_pressure_IMURQU7_01,IMURQU7,pressure,confirmed,True,HIGH,2026-03-31 02:00:00+00:00,2026-04-27 12:00:00+00:00,659.0,659,5463,-1.8600000000000136,4.6400000000001,0.29729187562688064,11.360000000000014,0.5949999999999704,3.4886586069947096,6.1588785046729395,11.360000000000014,618,7.194999999999993,same_direction,0,
,IMURQU7,temp,clean,False,,,,,0,5461,-0.5999999999999979,0.7999999999999972,0.10190018793067446,,,,,,0,,unavailable,0,
,INALUT3,dewpoint,clean,False,,,,,0,3844,0.39999999999999947,1.9999999999999991,0.10801282051282052,,,,,,0,,unavailable,0,
,INALUT3,pressure,clean,False,,,,,0,4525,-1.7999999999999545,3.659999999999968,0.14553990610328638,,,,,,0,,unavailable,0,
,INALUT3,temp,clean,False,,,,,0,3844,-0.09999999999999787,0.8999999999999986,0.10073330760324199,,,,,,0,,unavailable,0,
,INUQAT10,dewpoint,clean,False,,,,,0,5235,-0.09999999999999964,1.4000000000000004,0.07126340130334244,,,,,,0,,unavailable,0,
calibration_pressure_INUQAT10_01,INUQAT10,pressure,confirmed,True,HIGH,2026-02-11 23:00:00+00:00,2026-02-19 16:00:00+00:00,186.0,186,5468,-6.17999999999995,1.4600000000000364,0.25791583166332666,-6.15500000000003,0.4274999999999807,-2.751188628301406,3.821946169772118,-6.15500000000003,143,-4.060000000000059,same_direction,0,
calibration_pressure_INUQAT10_02,INUQAT10,pressure,confirmed,True,MED,2026-04-19 10:00:00+00:00,2026-05-13 03:00:00+00:00,570.0,392,5468,-6.17999999999995,1.4600000000000364,0.25791583166332666,-7.7700000000000955,0.3599999999999568,-2.280824195904015,2.7663551401869677,-7.7700000000000955,556,-2.0300000000000864,same_direction,0,
,INUQAT10,temp,clean,False,,,,,0,5235,-0.5,0.8000000000000007,0.09774271312732852,,,,,,0,,unavailable,0,
,INUQAT8,dewpoint,clean,False,,,,,0,5955,-0.40000000000000036,1.4000000000000004,0.08563081979185685,,,,,,0,,unavailable,0,
,INUQAT8,pressure,clean,False,,,,,0,5955,-1.5400000000000773,2.3900000000001,0.2452072302355304,,,,,,0,,unavailable,0,
,INUQAT8,temp,clean,False,,,,,0,5955,-0.1999999999999993,0.8000000000000007,0.09445390876395987,,,,,,0,,unavailable,0,
,INUQAT9,dewpoint,clean,False,,,,,0,4856,0.7000000000000002,1.8000000000000016,0.06601187756966652,,,,,,0,,unavailable,0,
calibration_pressure_INUQAT9_01,INUQAT9,pressure,confirmed,True,HIGH,2026-02-14 13:00:00+00:00,2026-02-22 04:00:00+00:00,184.0,171,5434,-4.259999999999991,0.6000000000001364,0.04439063761097659,-4.579999999999927,0.2699999999999818,-2.431361615302967,3.2070393374740194,-4.579999999999927,183,-1.349999999999909,same_direction,0,
calibration_pressure_INUQAT9_02,INUQAT9,pressure,confirmed,True,HIGH,2026-03-08 12:00:00+00:00,2026-03-24 03:00:00+00:00,376.0,376,5434,-4.259999999999991,0.6000000000001364,0.04439063761097659,-4.57000000000005,0.21999999999997044,3.3589059439442965,3.769999999999982,-4.57000000000005,308,-6.775000000000034,same_direction,0,
,INUQAT9,temp,clean,False,,,,,0,4856,-0.5,0.8999999999999986,0.11656891495601172,,,,,,0,,unavailable,0,
,ITAHLI1,dewpoint,clean,False,,,,,0,5706,0.40000000000000036,1.7999999999999998,0.07383320581484315,,,,,,0,,unavailable,0,
,ITAHLI1,pressure,clean,False,,,,,0,5706,-3.490000000000009,3.2299999999999045,0.20849273144605968,,,,,,0,,unavailable,0,
,ITAHLI1,temp,clean,False,,,,,0,5706,-0.40000000000000213,0.6999999999999975,0.09117997616209773,,,,,,0,,unavailable,0,
,ITRIPO32,dewpoint,clean,False,,,,,0,2176,-0.45000000000000107,1.0500000000000007,0.10181311018131102,,,,,,0,,unavailable,0,
,ITRIPO32,pressure,clean,False,,,,,0,2177,-1.2200000000000273,3.009999999999991,0.30940766550522647,,,,,,0,,unavailable,0,
,ITRIPO32,temp,clean,False,,,,,0,2176,0.29999999999999893,0.7999999999999989,0.09333333333333334,,,,,,0,,unavailable,0,
,ITRIPO33,dewpoint,clean,False,,,,,0,4119,0.1999999999999993,1.3999999999999986,0.07102187593646989,,,,,,0,,unavailable,0,
calibration_pressure_ITRIPO33_01,ITRIPO33,pressure,confirmed,True,HIGH,2026-04-15 09:00:00+00:00,2026-04-25 11:00:00+00:00,243.0,243,5444,-4.035000000000025,5.074999999999989,0.26379379782521145,-14.059999999999945,0.5900000000000318,-4.000248792558976,5.691588785046795,-14.059999999999945,243,-3.3899999999999864,same_direction,0,
,ITRIPO33,temp,clean,False,,,,,0,4119,0.10000000000000142,0.9000000000000021,0.08428372739916551,,,,,,0,,unavailable,0,
,IZAWIY5,dewpoint,clean,False,,,,,0,5391,-0.2999999999999998,1.4999999999999991,0.08365560757174842,,,,,,0,,unavailable,0,
calibration_pressure_IZAWIY5_01,IZAWIY5,pressure,confirmed,True,HIGH,2026-01-31 01:00:00+00:00,2026-02-24 23:00:00+00:00,599.0,490,5747,-2.9600000000000364,4.9500000000000455,0.34181059024482824,-11.520000000000067,0.3300000000000409,-3.5232843566103926,6.089026915113647,-11.520000000000067,594,-7.872499999999945,same_direction,0,
calibration_pressure_IZAWIY5_02,IZAWIY5,pressure,confirmed,True,HIGH,2026-04-28 08:00:00+00:00,2026-05-31 15:00:00+00:00,800.0,800,5747,-2.9600000000000364,4.9500000000000455,0.34181059024482824,8.230000000000018,0.5349999999999682,4.689621846715299,6.731707317072335,8.230000000000018,798,6.180000000000007,same_direction,0,
,IZAWIY5,temp,clean,False,,,,,0,5391,-0.10000000000000142,0.8999999999999986,0.09756647138350609,,,,,,0,,unavailable,0,
,IZAWIY7,dewpoint,clean,False,,,,,0,5453,-0.5,1.5999999999999996,0.06190954773869347,,,,,,0,,unavailable,0,
calibration_pressure_IZAWIY7_01,IZAWIY7,pressure,confirmed,True,HIGH,2026-02-12 06:00:00+00:00,2026-02-19 20:00:00+00:00,183.0,183,5617,-5.909999999999968,2.25,0.2050982681455536,-5.600000000000023,0.40999999999996817,-2.6177678676358656,3.596273291925375,-5.600000000000023,183,14.054999999999836,opposite_direction,0,
,IZAWIY7,temp,clean,False,,,,,0,5453,-0.40000000000000213,0.8000000000000043,0.08722024681029074,,,,,,0,,unavailable,0,
